ref,symbol,company_name,category_number,category,shares
51150,TRIBL,Trust Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,119885111
51155,TSBL,Trust Securities & Brokerage Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,30000000
51332,JSCLPSA,Jahangir Sidd(Pref),813,INV. BANKS / INV. COS. / SECURITIES COS.,183188477
60960,ABL,Allied Bank Limited,807,COMMERCIAL BANKS,1145073830
60970,SMBL,Summit Bank Limited,807,COMMERCIAL BANKS,2638151060
60980,AKBL,Askari Bank Limited,807,COMMERCIAL BANKS,1260260180
61000,BAFL,Bank Alfalah Limited,807,COMMERCIAL BANKS,1777165119
61004,BIPL,BankIslami Pakistan Limited,807,COMMERCIAL BANKS,1108703299
61005,BOK,The Bank of Khyber,807,COMMERCIAL BANKS,1050389726
61010,BAHL,Bank AL Habib Limited,807,COMMERCIAL BANKS,1111425419
61030,BOP,The Bank of Punjab,807,COMMERCIAL BANKS,2643692380
61045,FABL,Faysal Bank Limited,807,COMMERCIAL BANKS,1517696526
61050,HBL,Habib Bank Limited,807,COMMERCIAL BANKS,1466852508
61094,MEBL,Meezan Bank Limited,807,COMMERCIAL BANKS,1626931159
61095,NBP,National Bank of Pakistan,807,COMMERCIAL BANKS,2127512862
61097,HMB,Habib Metropolitan Bank Limited,807,COMMERCIAL BANKS,1047831480
61098,MCB,MCB Bank Limited,807,COMMERCIAL BANKS,1185060006
61104,JSBL,JS Bank Limited,807,COMMERCIAL BANKS,1297464262
61114,SBL,Samba Bank Limited,807,COMMERCIAL BANKS,1008238648
61135,SILK,Silkbank Limited,807,COMMERCIAL BANKS,9081861237
61150,SNBL,Soneri Bank Limited,807,COMMERCIAL BANKS,1102463503
61153,SCBPL,Standard Chartered Bank (Pak) Ltd,807,COMMERCIAL BANKS,3871585021
61180,UBL,United Bank Limited,807,COMMERCIAL BANKS,1224179688
71000,AICL,Adamjee Insurance Company Limited,812,INSURANCE,350000000
71010,IGIL,IGI Life Insurance Limited,812,INSURANCE,170567200
71020,ASIC,Asia Insurance Company Limited,812,INSURANCE,66371130
71025,AGIC,Askari General Insurance Company Limited,812,INSURANCE,71901898
71030,BIIC,Business & Industrial Insurance Company Ltd.,812,INSURANCE,8554376
71040,CYAN,Cyan Limited,812,INSURANCE,61558963
71060,CENI,Century Insurance Company Limited,812,INSURANCE,50296803
71070,JLICL,Jubilee Life Insurance Company Limited,812,INSURANCE,87263748
71080,CSIL,Crescent Star Insurance Limited,812,INSURANCE,107695041
71100,EFUG,EFU General Insurance Limited,812,INSURANCE,200000000
71110,EFUL,EFU Life Assurance Limited,812,INSURANCE,100000001
71120,EWIC,East West Insurance Company Limited,812,INSURANCE,136086192
71140,HICL,Habib Insurance Company Limited,812,INSURANCE,123874755
71160,IGIHL,IGI Holdings Limited,812,INSURANCE,142630550
71210,ALAC,Askari Life Assurance Company Limited,812,INSURANCE,150172014
71220,ATIL,Atlas Insurance Limited,812,INSURANCE,84895279
71260,JGICL,Jubilee General Insurance Limited,812,INSURANCE,198491379
71265,PIL,PICIC Insurance Limited,812,INSURANCE,35000000
71275,PKGI,The Pakistan General Insurance Co. Ltd.,812,INSURANCE,46401450
71310,PAKRI,Pakistan Reinsurance Company Limited,812,INSURANCE,300000000
71400,PINL,Premier Insurance Limited,812,INSURANCE,50565105
71420,PRIC,Progressive Insurance Company Limited,812,INSURANCE,8500000
71440,HCL,Hallmark Company Limited,828,TECHNOLOGY & COMMUNICATION,500000
71460,RICL,Reliance Insurance Company Limited,812,INSURANCE,60351880
71470,SHNI,Shaheen Insurance Company Limited,812,INSURANCE,60000000
71480,SSIC,Silver Star Insurance Company Limited,812,INSURANCE,30564844
71490,TPLI,TPL Insurance Limited,812,INSURANCE,117191261
71500,SICL,Standard Insurance Company Limited,812,INSURANCE,750000
71560,UNIC,The United Insurance Company,812,INSURANCE,295000044
71580,UVIC,The Universal Insurance Company Limited,812,INSURANCE,50000000
81080,AATM,Ali Asghar Textile Mills Limited,830,TEXTILE SPINNING,44426694
81090,AMTEX,Amtex Limited,830,TEXTILE SPINNING,259430134
81100,AWTX,Allawasaya Tex. & Finishing Mills Ltd,830,TEXTILE SPINNING,800000
81180,ANNT,Annoor Textile Mills Limited,830,TEXTILE SPINNING,1742400
81220,APOT,Apollo Textile Mills Limited,830,TEXTILE SPINNING,8284700
81225,ASTM,Asim Textile Mills Limited,830,TEXTILE SPINNING,15177000
81280,AZMT,Azmat Textile Mills Limited,830,TEXTILE SPINNING,950000
81300,BCML,Babri Cotton Mills Limited,830,TEXTILE SPINNING,3652178
81325,BILF,Bilal Fibres Limited,830,TEXTILE SPINNING,14100000
81420,CWSM,Chakwal Spinning Mills Limited,830,TEXTILE SPINNING,121576200
81450,HIRAT,Hira Textile Mills Limited,830,TEXTILE SPINNING,86577920
81470,CFL,Crescent Fibres Limited,830,TEXTILE SPINNING,12417876
81502,DSML,Dar-es-Salaam Textile Mills Limited,830,TEXTILE SPINNING,8000000
81503,DATM,Data Textiles Limited,830,TEXTILE SPINNING,9909600
81504,DFSM,Dewan Farooque Spinning Mills Limited,830,TEXTILE SPINNING,97750726
81505,DKTM,Dewan Khalid Textile Mills Limited,830,TEXTILE SPINNING,9610759
81510,DMTM,Dewan Mushtaq Textile Mills Limited,830,TEXTILE SPINNING,11561028
81520,DWTM,Dewan Textile Mills Limited,830,TEXTILE SPINNING,46064609
81530,DINT,Din Textile Mills Limited,830,TEXTILE SPINNING,52466750
81560,DMTX,D.M. Textile Mills Limited,830,TEXTILE SPINNING,3052400
81565,DSIL,D.S. Industries Limited,830,TEXTILE SPINNING,83685631
81580,ELCM,Elahi Cotton Mills Limited,830,TEXTILE SPINNING,1300000
81600,ELSM,Ellcot Spinning Mills Limited,830,TEXTILE SPINNING,10950000
81630,FAEL,Fatima Enterprises Limited,830,TEXTILE SPINNING,14231000
81680,FZCM,Fazal Cloth Mills Limited,829,TEXTILE COMPOSITE,30000000
81725,GADT,Gadoon Textile Mills Limited,830,TEXTILE SPINNING,28029583
81740,GLOT,Globe Textile Mills Limited,830,TEXTILE SPINNING,16367085
81790,GUSM,Gulistan Spinning Mills Limited,830,TEXTILE SPINNING,14641000
